EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005171263,542494,221001718,BLUSA MALHA COM OMBRO TRANÇADO,PRETO,G,4,09 06 05
9000005171270,542495,221001718,BLUSA MALHA COM OMBRO TRANÇADO,PRETO,GG,5,09 06 05
9000005051718,532831,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,PRETO,P,15,09 06 04
9000005051725,532832,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,PRETO,M,62,09 06 04
9000005051732,532833,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,PRETO,G,32,09 06 04
9000005051749,532834,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,PRETO,GG,22,09 06 04
9000005110385,537691,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,VERDE,P,17,09 06 04
9000005110408,537693,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,VERDE,G,2,09 06 04
9000005110415,537694,231003939,BLUSA PLANA LISA COM DET PONTEIRAS DECOTE,VERDE,GG,9,09 06 04
9000005105428,537198,216000072,JAQUETA JEANS CROPPED COM BOLSOS FRENTE,JEANS,P,46,09 06 03
9000005105435,537199,216000072,JAQUETA JEANS CROPPED COM BOLSOS FRENTE,JEANS,M,32,09 06 03
9000005105442,537200,216000072,JAQUETA JEANS CROPPED COM BOLSOS FRENTE,JEANS,G,36,09 06 03
9000005105459,537201,216000072,JAQUETA JEANS CROPPED COM BOLSOS FRENTE,JEANS,GG,35,09 06 03
9000005130109,539363,232001909,VESTIDO CURTO PLANO LISO COSTAS CRUZADAS,CARAMELO,P,20,09 05 06
9000005130116,539364,232001909,VESTIDO CURTO PLANO LISO COSTAS CRUZADAS,CARAMELO,M,4,09 05 06
9000005130123,539365,232001909,VESTIDO CURTO PLANO LISO COSTAS CRUZADAS,CARAMELO,G,6,09 05 06
